Processor Count: 1 | Num Particles: 100 | Num Steps: 1000 | Run Time: 1.763997 |

Processor Count: 1 | Num Particles: 200 | Num Steps: 1000 | Run Time: 4.870025 |

Processor Count: 1 | Num Particles: 400 | Num Steps: 1000 | Run Time: 12.897247 |

Processor Count: 1 | Num Particles: 800 | Num Steps: 1000 | Run Time: 39.006507 |

Processor Count: 2 | Num Particles: 100 | Num Steps: 1000 | Run Time: 1.095352 |

Processor Count: 2 | Num Particles: 200 | Num Steps: 1000 | Run Time: 3.046061 |

Processor Count: 2 | Num Particles: 400 | Num Steps: 1000 | Run Time: 8.181785 |

Processor Count: 2 | Num Particles: 800 | Num Steps: 1000 | Run Time: 20.118182 |

Processor Count: 4 | Num Particles: 100 | Num Steps: 1000 | Run Time: 0.922228 |

Processor Count: 4 | Num Particles: 200 | Num Steps: 1000 | Run Time: 2.379759 |

Processor Count: 4 | Num Particles: 400 | Num Steps: 1000 | Run Time: 6.089563 |

Processor Count: 4 | Num Particles: 800 | Num Steps: 1000 | Run Time: 16.440609 |






